sub_id,label,status,eda_mean_scl,eda_slope_scl,eda_num_scr,eda_mean_scr_amp,eda_sum_scr_amp,eda_variance,eda_range,eda_deriv_mean
001,easy,ok,350.23770254295135,0.04301158537137213,93,211.14167694509143,19636.175955893505,17252.822519706213,5311.301124299451,-0.001178420681058103
001,hard,ok,351.37134116202526,-0.20994464776306623,81,272.7317172352432,22091.2690960547,29292.644925581273,6125.306669416855,-0.003021901038501057
002,easy,ok,374.56760574413204,-0.474846112585946,79,786.7424233290683,62152.65144299639,1158511.2352995395,57424.907662020545,0.005721159952947315
002,hard,ok,350.2296523741527,0.1514012657561385,59,107.25709986572795,6328.168892077949,10033.785342975993,731.2645521216731,0.03467770432764362
003,easy,ok,390.7093688662909,-0.3767958374066978,50,1180.015014121493,59000.75070607465,2346085.8177566174,64936.98774946257,-0.0010386802423918429
003,hard,ok,438.2840481270923,-0.5533909861615329,61,2029.06624983007,123773.04123963427,4151474.875751938,70627.47435856922,-0.004998421387958312
004,easy,ok,351.65851354058236,0.08845644478312198,71,98.5966788193404,7000.364196173168,18762.900155011037,6306.504245021263,2.6184114323787895e-06
004,hard,ok,350.33820387934486,-0.04462586161678793,58,110.32289401391576,6398.727852807114,20584.171804808168,6123.097560493085,-0.002721182347572802
005,easy,ok,328.15183474873425,-0.24640411011507618,45,61.77376061015386,2779.8192274569237,1649.183174330418,309.6440885892566,-0.009394904179335514
005,hard,ok,346.31895955028415,0.07958979403412497,75,213.65898376319817,16024.423782239863,25818.882152359103,5379.353538649099,-0.0055580961980086115
006,easy,ok,329.42818362274494,-0.036177194603734836,57,189.39428625450725,10795.474316506914,9385.21989822146,447.78851001668016,0.0022260636801046075
006,hard,ok,403.3736679070786,4.099320631495862,47,1813.8232605082762,85249.69324388898,4602661.213282187,83160.55929214772,0.013692573764583093
007,easy,ok,345.8386877401814,-0.4439164350141286,42,280.2264435813687,11769.510630417484,30542.745562404525,680.0127587541189,-0.06569497257486268
007,hard,ok,334.55533736133617,-0.09099120915066358,45,283.9033156438129,12775.649203971581,29775.980814831142,614.0095434595576,-0.02745403346844894
