EDA,PPG1,PPG2,event_code
363,282,0,
363,282,0,
362,280,0,
362,280,0,
360,280,0,
360,282,0,
358,281,0,
358,280,0,
358,280,0,
358,280,0,
358,281,0,
357,280,0,
357,280,0,
356,279,0,
356,281,0,
357,280,0,
356,281,0,
356,280,0,
356,279,0,
357,281,0,
357,282,0,
356,279,0,
356,280,0,
355,279,0,
355,281,0,
356,280,0,
356,280,0,
354,280,0,
355,280,0,
355,280,0,
356,281,0,
354,281,0,
355,280,0,
355,279,0,
355,281,0,
357,281,0,
356,280,0,
356,279,0,
356,279,0,
356,280,0,
357,280,0,
356,280,0,
356,279,0,
355,280,0,
355,282,0,
355,281,0,
356,279,0,
355,279,0,
355,279,0,
355,282,0,
354,281,0,
355,280,0,
354,280,0,
353,281,0,
353,281,0,
353,280,0,
354,279,0,
354,278,0,
353,280,0,
353,281,0,
354,280,0,
353,279,0,
352,279,0,
352,281,0,
352,282,0,
353,280,0,
352,280,0,
352,279,0,
352,280,0,
353,281,0,
352,280,0,
352,279,0,
351,279,0,
351,280,0,
350,281,0,
352,279,0,
351,279,0,
350,280,0,
350,281,0,
350,281,0,
349,279,0,
349,280,0,
349,279,0,
348,281,0,
348,280,0,
347,278,0,
347,279,0,
346,280,0,
346,281,0,
346,279,0,
347,279,0,
346,279,0,
347,281,0,
346,281,0,
346,280,0,
347,279,0,
346,279,0,
346,279,0,
346,281,0,
346,280,0,
346,279,0,
347,278,0,
346,279,0,
346,281,0,
347,279,0,
346,279,0,
346,279,0,
346,280,0,
347,281,0,
346,279,0,
346,279,0,
346,279,0,
345,280,0,
345,281,0,
343,279,0,
344,279,0,
343,279,0,
344,280,0,
343,280,0,
342,279,0,
342,280,0,
342,278,0,
343,281,0,
343,280,0,
344,280,0,
344,278,0,
345,279,0,
347,281,0,
348,279,0,
348,279,0,
350,279,0,
351,278,0,
353,281,0,
353,281,0,
355,280,0,
356,278,0,
358,279,0,
359,281,0,
362,280,0,
362,279,0,
362,279,0,
364,280,0,
365,281,0,
367,279,0,
367,280,0,
367,280,0,
368,280,0,
369,281,0,
371,282,0,
371,281,0,
372,281,0,
372,282,0,
372,283,0,
373,280,0,
373,281,0,
373,281,0,
373,283,0,
373,283,0,
373,281,0,
372,281,0,
372,281,0,
371,282,0,
371,282,0,
371,282,0,
370,282,0,
368,281,0,
367,283,0,
366,283,0,
366,282,0,
366,281,0,
365,280,0,
364,283,0,
364,282,0,
362,281,0,
362,281,0,
359,281,0,
360,283,0,
359,281,0,
359,282,0,
357,282,0,
357,282,0,
356,284,0,
356,282,0,
356,281,0,
355,281,0,
355,283,0,
354,282,0,
354,281,0,
354,280,0,
355,281,0,
356,281,0,
356,283,0,
355,282,0,
356,281,0,
357,281,0,
357,282,0,
356,282,0,
358,281,0,
358,281,0,
358,280,0,
358,281,0,
358,282,0,
358,280,0,
358,280,0,
358,280,0,
357,283,0,
357,281,0,
356,282,0,
357,281,0,
356,281,0,
355,282,0,
355,283,0,
355,282,0,
354,281,0,
355,281,0,
354,283,0,
354,282,0,
353,281,0,
352,281,0,
352,281,0,
352,282,0,
351,281,0,
351,280,0,
352,282,0,
350,281,0,
351,283,0,
352,282,0,
352,281,0,
352,280,0,
351,282,0,
352,282,0,
352,282,0,
352,281,0,
352,281,0,
352,282,0,
353,283,0,
354,281,0,
354,282,0,
354,280,0,
355,283,0,
355,283,0,
355,281,0,
355,282,0,
355,281,0,
354,282,0,
357,282,0,
356,282,0,
354,281,0,
355,281,0,
352,283,0,
353,283,0,
354,281,0,
352,282,0,
352,281,0,
352,283,0,
351,282,0,
351,282,0,
350,281,0,
349,281,0,
348,283,0,
349,283,0,
349,281,0,
348,280,0,
347,281,0,
348,282,0,
348,282,0,
348,281,0,
347,281,0,
346,281,0,
347,283,0,
347,282,0,
348,281,0,
347,282,0,
345,281,0,
347,283,0,
348,282,0,
348,281,0,
348,281,0,
348,283,0,
348,283,0,
350,282,0,
350,281,0,
351,280,0,
350,282,0,
351,283,0,
351,281,0,
351,281,0,
350,281,0,
351,282,0,
351,283,0,
349,281,0,
348,281,0,
348,281,0,
348,283,0,
346,283,0,
346,281,0,
345,281,0,
344,281,0,
343,281,0,
342,282,0,
341,282,0,
340,281,0,
340,280,0,
339,283,0,
340,280,0,
340,280,0,
341,281,0,
341,281,0,
341,282,0,
344,281,0,
345,281,0,
346,281,0,
346,281,0,
348,283,0,
349,281,0,
352,280,0,
352,281,0,
354,282,0,
355,283,0,
358,281,0,
360,281,0,
361,281,0,
361,282,0,
363,283,0,
364,282,0,
366,280,0,
367,282,0,
367,283,0,
367,283,0,
367,282,0,
369,282,0,
370,282,0,
368,282,0,
368,284,0,
369,281,0,
368,282,0,
369,282,0,
368,283,0,
367,284,0,
367,282,0,
367,282,0,
366,282,0,
366,284,0,
365,283,0,
363,283,0,
362,283,0,
363,281,0,
362,284,0,
363,284,0,
362,281,0,
362,282,0,
361,283,0,
361,285,0,
360,284,0,
361,283,0,
361,283,0,
361,283,0,
360,284,0,
361,283,0,
360,282,0,
360,283,0,
359,283,0,
361,284,0,
360,284,0,
360,283,0,
360,281,0,
360,283,0,
360,284,0,
359,283,0,
359,281,0,
360,283,0,
359,283,0,
362,284,0,
362,284,0,
362,282,0,
363,283,0,
363,284,0,
365,284,0,
364,283,0,
363,283,0,
363,283,0,
363,283,0,
362,285,0,
362,283,0,
361,283,0,
360,283,0,
360,285,0,
361,284,0,
360,282,0,
358,283,0,
358,282,0,
357,284,0,
357,284,0,
357,282,0,
354,283,0,
356,282,0,
355,283,0,
356,284,0,
355,283,0,
353,283,0,
353,283,0,
353,283,0,
353,284,0,
354,283,0,
353,282,0,
352,283,0,
354,284,0,
353,283,0,
353,283,0,
354,283,0,
352,284,0,
352,284,0,
352,283,0,
351,283,0,
351,282,0,
349,284,0,
350,284,0,
349,283,0,
350,282,0,
348,282,0,
348,283,0,
348,284,0,
348,282,0,
347,282,0,
346,283,0,
345,282,0,
346,284,0,
344,283,0,
346,282,0,
345,282,0,
345,283,0,
345,283,0,
346,281,0,
345,282,0,
345,281,0,
345,283,0,
346,283,0,
347,281,0,
348,281,0,
348,281,0,
349,284,0,
349,283,0,
350,282,0,
348,282,0,
348,282,0,
350,283,0,
350,283,0,
350,281,0,
350,282,0,
350,282,0,
348,283,0,
349,283,0,
348,282,0,
349,282,0,
349,283,0,
348,284,0,
349,281,0,
347,282,0,
347,282,0,
345,282,0,
345,284,0,
346,282,0,
346,281,0,
344,280,0,
343,282,0,
344,282,0,
342,282,0,
341,281,0,
341,280,0,
340,281,0,
341,283,0,
339,281,0,
340,282,0,
338,281,0,
338,283,0,
339,281,0,
337,281,0,
336,281,0,
336,282,0,
336,283,0,
338,283,0,
338,281,0,
339,282,0,
339,281,0,
340,284,0,
342,282,0,
342,281,0,
342,281,0,
342,281,0,
344,282,0,
346,282,0,
346,281,0,
348,280,0,
347,282,0,
350,283,0,
351,282,0,
351,281,0,
353,281,0,
353,283,0,
354,283,0,
354,282,0,
355,282,0,
356,281,0,
355,281,0,
357,284,0,
358,282,0,
357,282,0,
357,282,0,
358,283,0,
358,284,0,
359,282,0,
359,281,0,
359,282,0,
359,284,0,
360,284,0,
359,281,0,
359,281,0,
360,281,0,
359,283,0,
360,284,0,
359,283,0,
359,282,0,
359,282,0,
357,283,0,
358,284,0,
357,283,0,
357,282,0,
357,282,0,
357,283,0,
356,284,0,
356,283,0,
355,283,0,
354,282,0,
354,284,0,
355,284,0,
353,283,0,
351,282,0,
352,282,0,
351,284,0,
349,282,0,
347,282,0,
347,282,0,
346,283,0,
346,285,0,
345,284,0,
345,282,0,
344,282,0,
344,283,0,
344,285,0,
344,283,0,
344,281,0,
344,281,0,
344,283,0,
345,283,0,
346,283,0,
345,281,0,
345,281,0,
347,283,0,
347,284,0,
348,282,0,
348,282,0,
349,283,0,
349,283,0,
349,283,0,
350,282,0,
349,281,0,
349,282,0,
350,284,0,
351,283,0,
351,283,0,
353,281,0,
354,281,0,
355,284,0,
356,284,0,
356,283,0,
358,282,0,
358,283,0,
361,283,0,
362,283,0,
363,282,0,
365,282,0,
367,283,0,
369,285,0,
