EDA,PPG1,PPG2,event_code
205,333,0,
214,333,0,
224,335,0,
232,333,0,
241,332,0,
249,333,0,
257,334,0,
263,335,0,
269,333,0,
275,333,0,
281,333,0,
285,334,0,
288,335,0,
293,333,0,
293,333,0,
297,332,0,
298,335,0,
297,333,0,
297,333,0,
297,333,0,
295,333,0,
292,335,0,
290,334,0,
285,333,0,
283,332,0,
278,334,0,
275,334,0,
269,334,0,
267,332,0,
263,333,0,
256,334,0,
253,334,0,
248,334,0,
244,333,0,
238,333,0,
233,334,0,
228,334,0,
223,333,0,
219,332,0,
215,333,0,
212,334,0,
208,335,0,
204,333,0,
202,333,0,
200,333,0,
197,334,0,
192,334,0,
188,333,0,
188,333,0,
185,332,0,
182,335,0,
181,335,0,
180,333,0,
177,334,0,
178,333,0,
178,335,0,
177,334,0,
175,334,0,
177,333,0,
179,333,0,
179,335,0,
178,335,0,
181,333,0,
181,332,0,
183,333,0,
184,335,0,
184,334,0,
185,333,0,
187,333,0,
189,333,0,
188,336,0,
190,334,0,
191,332,0,
193,332,0,
193,334,0,
195,334,0,
195,334,0,
197,332,0,
199,332,0,
199,334,0,
200,336,0,
201,333,0,
201,334,0,
205,333,0,
208,333,0,
206,336,0,
208,334,0,
209,332,0,
211,333,0,
212,335,0,
213,335,0,
213,333,0,
214,334,0,
215,333,0,
217,334,0,
216,336,0,
220,333,0,
224,331,0,
228,333,0,
235,334,0,
242,335,0,
253,332,0,
266,333,0,
283,332,0,
302,336,0,
319,335,0,
344,333,0,
370,333,0,
400,333,0,
429,336,0,
461,335,0,
493,333,0,
527,333,0,
562,334,0,
597,336,0,
629,335,0,
641,333,0,
642,332,0,
642,334,0,
643,336,0,
641,335,0,
642,333,0,
642,333,0,
642,333,0,
642,337,0,
642,334,0,
642,334,0,
641,333,0,
642,336,0,
642,336,0,
642,334,0,
640,334,0,
642,332,0,
642,335,0,
642,335,0,
642,334,0,
642,333,0,
642,332,0,
642,336,0,
643,336,0,
642,332,0,
642,334,0,
642,333,0,
642,335,0,
643,336,0,
643,334,0,
642,333,0,
642,334,0,
643,336,0,
642,334,0,
641,334,0,
620,333,0,
586,332,0,
550,336,0,
517,334,0,
483,333,0,
449,333,0,
417,332,0,
385,336,0,
354,335,0,
326,332,0,
300,333,0,
275,333,0,
251,335,0,
229,334,0,
211,332,0,
195,332,0,
181,333,0,
167,334,0,
156,333,0,
149,332,0,
143,331,0,
138,334,0,
135,334,0,
135,332,0,
134,332,0,
138,332,0,
140,335,0,
144,334,0,
151,332,0,
158,332,0,
168,331,0,
175,335,0,
184,334,0,
194,332,0,
204,331,0,
215,332,0,
224,335,0,
232,332,0,
241,332,0,
252,330,0,
262,332,0,
269,335,0,
276,332,0,
282,332,0,
289,332,0,
295,333,0,
299,335,0,
303,332,0,
306,332,0,
310,330,0,
314,333,0,
313,335,0,
313,333,0,
313,332,0,
314,331,0,
313,333,0,
311,334,0,
308,333,0,
304,332,0,
303,332,0,
300,333,0,
296,335,0,
290,333,0,
285,332,0,
283,330,0,
278,334,0,
272,333,0,
266,333,0,
261,332,0,
257,332,0,
252,334,0,
248,334,0,
242,333,0,
237,331,0,
234,331,0,
230,334,0,
226,333,0,
220,333,0,
217,332,0,
214,332,0,
210,334,0,
207,334,0,
203,333,0,
200,332,0,
199,332,0,
196,334,0,
194,333,0,
192,333,0,
190,332,0,
191,330,0,
188,335,0,
189,333,0,
188,333,0,
185,332,0,
188,332,0,
186,335,0,
187,333,0,
186,332,0,
187,332,0,
189,332,0,
188,334,0,
189,333,0,
188,333,0,
189,331,0,
191,333,0,
192,335,0,
193,333,0,
192,333,0,
195,331,0,
196,334,0,
195,334,0,
196,333,0,
198,332,0,
199,332,0,
199,334,0,
201,333,0,
201,333,0,
203,331,0,
204,332,0,
205,333,0,
206,334,0,
207,332,0,
209,331,0,
