EDA,PPG1,PPG2,event_code
341,320,0,
341,320,0,
340,320,0,
341,320,0,
340,320,0,
340,320,0,
339,320,0,
339,319,0,
337,320,0,
338,320,0,
339,320,0,
339,320,0,
338,319,0,
338,320,0,
339,320,0,
339,320,0,
338,320,0,
339,321,0,
338,321,0,
338,321,0,
339,320,0,
339,320,0,
339,320,0,
339,320,0,
340,320,0,
340,320,0,
340,320,0,
340,319,0,
340,319,0,
340,319,0,
340,320,0,
339,320,0,
339,319,0,
339,319,0,
339,320,0,
338,319,0,
337,319,0,
337,319,0,
336,320,0,
336,318,0,
336,318,0,
336,319,0,
337,320,0,
336,318,0,
337,319,0,
337,319,0,
337,319,0,
338,320,0,
338,320,0,
338,320,0,
340,320,0,
341,320,0,
343,320,0,
343,320,0,
345,320,0,
347,320,0,
348,320,0,
350,320,0,
352,320,0,
354,321,0,
356,320,0,
357,321,0,
360,319,0,
360,320,0,
362,321,0,
363,321,0,
366,321,0,
367,321,0,
367,321,0,
368,320,0,
369,320,0,
370,320,0,
370,320,0,
371,321,0,
371,321,0,
371,321,0,
371,321,0,
372,321,0,
371,322,0,
372,321,0,
372,320,0,
372,322,0,
371,322,0,
372,322,0,
371,321,0,
371,321,0,
371,321,0,
370,321,0,
370,322,0,
369,321,0,
368,322,0,
368,321,0,
368,322,0,
367,322,0,
367,322,0,
367,322,0,
366,323,0,
366,323,0,
366,322,0,
365,322,0,
364,322,0,
364,322,0,
363,322,0,
364,323,0,
363,321,0,
361,322,0,
360,323,0,
359,322,0,
360,322,0,
359,323,0,
358,323,0,
357,322,0,
356,323,0,
356,322,0,
356,322,0,
355,322,0,
353,322,0,
353,322,0,
354,322,0,
352,323,0,
352,322,0,
352,323,0,
352,323,0,
351,321,0,
350,322,0,
350,322,0,
349,321,0,
349,321,0,
349,321,0,
349,321,0,
349,320,0,
348,320,0,
347,321,0,
348,320,0,
347,322,0,
347,321,0,
346,321,0,
346,322,0,
345,321,0,
345,321,0,
345,322,0,
346,321,0,
345,322,0,
345,321,0,
345,320,0,
345,321,0,
344,322,0,
344,321,0,
343,321,0,
343,321,0,
344,321,0,
343,320,0,
341,321,0,
341,321,0,
341,321,0,
341,321,0,
338,321,0,
337,321,0,
337,321,0,
337,320,0,
335,321,0,
334,321,0,
334,321,0,
332,320,0,
331,320,0,
331,321,0,
331,321,0,
330,320,0,
329,321,0,
329,320,0,
330,320,0,
329,321,0,
328,321,0,
328,320,0,
328,320,0,
327,321,0,
327,320,0,
328,320,0,
327,320,0,
327,320,0,
327,320,0,
328,320,0,
327,320,0,
327,320,0,
328,318,0,
328,319,0,
328,321,0,
328,320,0,
328,320,0,
328,320,0,
327,320,0,
328,320,0,
328,320,0,
326,320,0,
327,319,0,
327,320,0,
328,319,0,
326,320,0,
327,320,0,
327,320,0,
327,320,0,
326,319,0,
327,319,0,
326,320,0,
325,320,0,
326,320,0,
326,319,0,
325,319,0,
324,319,0,
324,319,0,
325,319,0,
325,319,0,
325,320,0,
323,320,0,
323,318,0,
323,319,0,
324,320,0,
322,319,0,
321,319,0,
321,319,0,
321,319,0,
321,319,0,
322,319,0,
321,320,0,
321,319,0,
321,318,0,
321,319,0,
322,319,0,
322,319,0,
321,318,0,
324,319,0,
325,319,0,
