EDA,PPG1,PPG2,event_code
35,314,0,
335,313,0,
335,314,0,
334,314,0,
334,313,0,
335,314,0,
335,313,0,
336,312,0,
336,314,0,
336,314,0,
335,314,0,
336,313,0,
335,314,0,
336,313,0,
337,313,0,
337,313,0,
337,314,0,
337,314,0,
339,313,0,
340,313,0,
340,313,0,
340,313,0,
340,314,0,
340,313,0,
341,313,0,
341,313,0,
342,313,0,
343,313,0,
342,312,0,
342,313,0,
342,313,0,
341,313,0,
342,313,0,
341,314,0,
341,312,0,
340,312,0,
339,313,0,
338,314,0,
337,314,0,
337,314,0,
335,313,0,
335,314,0,
334,313,0,
333,314,0,
332,314,0,
330,314,0,
329,313,0,
328,314,0,
327,315,0,
326,313,0,
324,315,0,
323,315,0,
323,314,0,
322,315,0,
321,316,0,
320,315,0,
319,316,0,
318,316,0,
318,315,0,
316,316,0,
316,316,0,
315,316,0,
315,316,0,
314,317,0,
315,316,0,
313,317,0,
313,316,0,
313,317,0,
313,317,0,
312,317,0,
312,317,0,
312,318,0,
312,317,0,
312,317,0,
312,318,0,
312,318,0,
312,318,0,
313,318,0,
313,318,0,
314,319,0,
315,317,0,
314,318,0,
315,317,0,
316,318,0,
314,318,0,
316,318,0,
316,319,0,
316,319,0,
316,318,0,
316,318,0,
316,319,0,
316,319,0,
316,318,0,
314,319,0,
314,319,0,
315,319,0,
314,318,0,
315,318,0,
315,318,0,
315,319,0,
315,319,0,
316,318,0,
315,318,0,
316,319,0,
316,319,0,
317,319,0,
318,318,0,
318,319,0,
319,319,0,
320,319,0,
321,318,0,
324,319,0,
325,319,0,
329,319,0,
331,319,0,
335,319,0,
339,318,0,
342,319,0,
348,319,0,
352,319,0,
358,319,0,
363,319,0,
369,320,0,
374,318,0,
380,319,0,
387,320,0,
392,320,0,
397,320,0,
402,320,0,
406,319,0,
410,320,0,
416,321,0,
419,320,0,
423,320,0,
425,319,0,
428,320,0,
431,321,0,
433,320,0,
434,320,0,
435,321,0,
436,321,0,
435,320,0,
436,321,0,
435,320,0,
433,320,0,
433,320,0,
431,319,0,
430,321,0,
427,319,0,
424,320,0,
422,321,0,
421,319,0,
417,320,0,
413,320,0,
410,319,0,
407,320,0,
403,320,0,
400,320,0,
396,320,0,
392,320,0,
390,320,0,
386,320,0,
383,320,0,
380,319,0,
376,320,0,
373,320,0,
370,320,0,
366,320,0,
363,320,0,
359,320,0,
356,320,0,
354,320,0,
352,321,0,
349,321,0,
346,320,0,
343,319,0,
341,320,0,
340,319,0,
337,320,0,
336,320,0,
335,320,0,
334,320,0,
333,320,0,
333,320,0,
331,320,0,
330,320,0,
330,320,0,
330,319,0,
329,319,0,
328,320,0,
329,320,0,
328,319,0,
328,320,0,
329,320,0,
328,319,0,
329,320,0,
329,319,0,
330,319,0,
330,320,0,
329,319,0,
329,319,0,
330,319,0,
331,319,0,
331,319,0,
331,320,0,
332,319,0,
332,320,0,
333,319,0,
334,319,0,
334,320,0,
334,319,0,
334,319,0,
335,320,0,
336,319,0,
335,319,0,
335,319,0,
337,320,0,
339,319,0,
337,319,0,
339,319,0,
338,319,0,
339,319,0,
339,318,0,
340,319,0,
339,320,0,
337,318,0,
337,320,0,
337,320,0,
336,320,0,
336,319,0,
336,319,0,
335,319,0,
335,320,0,
335,319,0,
333,319,0,
332,319,0,
332,320,0,
331,319,0,
330,319,0,
329,319,0,
328,320,0,
327,319,0,
327,320,0,
326,318,0,
325,318,0,
324,319,0,
323,320,0,
323,320,0,
321,320,0,
320,320,0,
320,320,0,
319,319,0,
318,320,0,
317,319,0,
317,320,0,
315,320,0,
315,320,0,
314,320,0,
314,320,0,
315,320,0,
314,320,0,
314,320,0,
314,320,0,
313,320,0,
313,320,0,
314,320,0,
313,320,0,
312,321,0,
313,320,0,
313,321,0,
314,320,0,
314,320,0,
314,320,0,
314,320,0,
314,319,0,
313,321,0,
313,319,0,
312,320,0,
312,321,0,
311,320,0,
312,320,0,
312,320,0,
312,321,0,
314,321,0,
314,320,0,
314,320,0,
314,320,0,
315,321,0,
315,320,0,
315,320,0,
314,320,0,
315,320,0,
316,320,0,
316,319,0,
317,319,0,
318,319,0,
319,319,0,
318,318,0,
319,319,0,
320,318,0,
321,319,0,
323,318,0,
325,318,0,
327,318,0,
329,318,0,
332,318,0,
334,318,0,
338,319,0,
343,319,0,
348,318,0,
352,318,0,
357,318,0,
362,318,0,
367,319,0,
372,317,0,
377,318,0,
381,318,0,
385,318,0,
390,319,0,
394,318,0,
397,319,0,
401,319,0,
405,319,0,
410,319,0,
413,319,0,
417,319,0,
419,319,0,
422,319,0,
424,319,0,
426,318,0,
426,319,0,
426,318,0,
426,319,0,
426,318,0,
425,318,0,
423,318,0,
422,318,0,
421,319,0,
418,319,0,
416,318,0,
413,318,0,
412,319,0,
410,319,0,
405,318,0,
403,319,0,
400,318,0,
397,318,0,
393,317,0,
390,318,0,
387,318,0,
384,318,0,
382,317,0,
378,318,0,
376,317,0,
373,317,0,
371,317,0,
369,317,0,
366,318,0,
364,318,0,
363,317,0,
361,317,0,
358,317,0,
357,317,0,
357,316,0,
353,316,0,
353,316,0,
352,317,0,
351,316,0,
350,317,0,
349,317,0,
348,316,0,
347,316,0,
347,317,0,
346,316,0,
345,316,0,
344,316,0,
343,317,0,
343,316,0,
342,317,0,
340,315,0,
341,317,0,
340,316,0,
339,316,0,
339,316,0,
339,316,0,
340,315,0,
340,315,0,
340,316,0,
340,315,0,
340,314,0,
339,315,0,
341,315,0,
340,316,0,
340,316,0,
342,315,0,
341,316,0,
341,315,0,
343,315,0,
343,314,0,
342,314,0,
342,315,0,
342,315,0,
342,314,0,
343,314,0,
342,316,0,
342,315,0,
343,314,0,
341,314,0,
343,315,0,
343,315,0,
343,314,0,
343,314,0,
342,315,0,
342,315,0,
342,314,0,
341,315,0,
340,315,0,
340,315,0,
340,315,0,
339,314,0,
338,314,0,
336,315,0,
337,315,0,
335,314,0,
335,314,0,
334,315,0,
332,314,0,
332,314,0,
331,315,0,
331,315,0,
329,315,0,
328,314,0,
327,314,0,
327,314,0,
327,314,0,
326,315,0,
326,314,0,
325,314,0,
325,314,0,
324,314,0,
324,314,0,
323,314,0,
322,314,0,
322,314,0,
322,315,0,
322,314,0,
320,314,0,
320,314,0,
319,313,0,
319,313,0,
319,314,0,
317,315,0,
317,314,0,
316,313,0,
315,313,0,
314,314,0,
314,314,0,
314,314,0,
314,313,0,
314,313,0,
314,314,0,
313,314,0,
313,313,0,
313,312,0,
313,313,0,
314,314,0,
313,313,0,
314,314,0,
315,314,0,
316,314,0,
318,313,0,
319,313,0,
320,313,0,
323,313,0,
326,313,0,
330,314,0,
334,314,0,
337,313,0,
340,313,0,
345,313,0,
348,314,0,
353,314,0,
359,314,0,
363,314,0,
368,314,0,
374,314,0,
378,315,0,
383,314,0,
389,314,0,
393,314,0,
398,315,0,
402,313,0,
405,315,0,
409,314,0,
413,314,0,
416,314,0,
419,315,0,
422,315,0,
422,315,0,
426,314,0,
427,314,0,
429,315,0,
429,315,0,
429,315,0,
429,314,0,
429,315,0,
428,316,0,
427,315,0,
425,316,0,
423,315,0,
421,315,0,
419,314,0,
416,316,0,
414,314,0,
411,314,0,
407,316,0,
405,316,0,
401,315,0,
397,316,0,
394,315,0,
391,316,0,
387,316,0,
384,316,0,
382,315,0,
377,316,0,
375,316,0,
372,316,0,
370,316,0,
368,316,0,
365,316,0,
363,316,0,
361,315,0,
358,316,0,
356,317,0,
354,317,0,
351,317,0,
350,316,0,
348,317,0,
346,317,0,
345,317,0,
343,318,0,
343,317,0,
342,318,0,
339,317,0,
338,318,0,
338,317,0,
336,318,0,
335,318,0,
333,318,0,
333,319,0,
332,319,0,
331,318,0,
331,317,0,
330,318,0,
330,318,0,
330,319,0,
330,319,0,
330,318,0,
331,318,0,
331,318,0,
331,318,0,
332,319,0,
332,319,0,
333,319,0,
332,319,0,
333,319,0,
333,319,0,
333,319,0,
333,319,0,
335,319,0,
336,320,0,
337,320,0,
338,320,0,
339,320,0,
340,320,0,
341,320,0,
342,319,0,
342,320,0,
342,320,0,
343,319,0,
343,320,0,
344,320,0,
345,320,0,
345,320,0,
346,320,0,
344,320,0,
344,320,0,
344,320,0,
345,321,0,
344,320,0,
344,321,0,
343,320,0,
343,320,0,
342,321,0,
341,321,0,
340,320,0,
339,320,0,
338,320,0,
337,321,0,
337,320,0,
335,321,0,
335,320,0,
334,320,0,
335,321,0,
336,320,0,
335,320,0,
335,320,0,
335,319,0,
336,319,0,
337,318,0,
336,319,0,
336,318,0,
335,317,0,
336,317,0,
335,318,0,
335,317,0,
333,318,0,
332,318,0,
331,318,0,
330,318,0,
329,317,0,
329,317,0,
328,317,0,
327,317,0,
327,316,0,
326,316,0,
324,318,0,
325,317,0,
324,317,0,
324,317,0,
324,317,0,
323,317,0,
323,316,0,
323,315,0,
323,317,0,
324,317,0,
324,316,0,
325,316,0,
326,317,0,
329,317,0,
330,316,0,
332,316,0,
335,315,0,
337,316,0,
340,316,0,
345,316,0,
348,316,0,
353,316,0,
356,316,0,
362,316,0,
367,316,0,
372,316,0,
377,317,0,
381,316,0,
385,317,0,
391,316,0,
394,316,0,
399,318,0,
403,317,0,
