EDA,PPG1,PPG2,event_code
301,128,0,
300,130,0,
300,131,0,
300,131,0,
300,130,0,
301,130,0,
300,130,0,
301,131,0,
302,130,0,
301,131,0,
301,130,0,
300,131,0,
301,131,0,
299,131,0,
298,131,0,
295,131,0,
295,130,0,
295,130,0,
294,131,0,
293,130,0,
292,131,0,
291,130,0,
290,131,0,
290,130,0,
288,131,0,
288,130,0,
285,131,0,
286,131,0,
286,130,0,
285,131,0,
284,130,0,
283,131,0,
283,131,0,
282,131,0,
283,131,0,
281,131,0,
283,130,0,
283,130,0,
284,131,0,
287,131,0,
290,131,0,
296,130,0,
301,131,0,
311,131,0,
320,131,0,
331,131,0,
342,132,0,
358,131,0,
373,132,0,
389,133,0,
406,132,0,
422,133,0,
441,132,0,
459,132,0,
477,133,0,
493,132,0,
509,133,0,
526,132,0,
540,134,0,
554,134,0,
566,134,0,
577,135,0,
586,134,0,
594,135,0,
601,134,0,
603,135,0,
607,134,0,
607,136,0,
606,137,0,
604,135,0,
600,137,0,
594,136,0,
587,137,0,
580,137,0,
570,137,0,
560,136,0,
547,137,0,
537,136,0,
524,135,0,
512,137,0,
499,136,0,
485,137,0,
472,136,0,
458,137,0,
446,135,0,
432,137,0,
419,136,0,
406,137,0,
393,135,0,
380,136,0,
369,136,0,
356,136,0,
345,134,0,
333,135,0,
324,135,0,
314,134,0,
304,135,0,
296,134,0,
287,135,0,
282,134,0,
274,134,0,
270,134,0,
264,134,0,
262,133,0,
258,132,0,
256,133,0,
253,132,0,
252,133,0,
252,132,0,
252,133,0,
254,131,0,
254,133,0,
257,132,0,
257,132,0,
262,131,0,
266,130,0,
270,131,0,
275,131,0,
278,132,0,
283,130,0,
287,131,0,
293,130,0,
296,131,0,
302,131,0,
306,130,0,
309,130,0,
312,130,0,
316,131,0,
322,131,0,
325,130,0,
327,131,0,
329,131,0,
333,131,0,
335,129,0,
336,130,0,
337,131,0,
338,131,0,
340,131,0,
341,129,0,
341,130,0,
340,131,0,
340,131,0,
340,131,0,
339,130,0,
337,130,0,
336,131,0,
334,131,0,
332,130,0,
330,130,0,
326,130,0,
324,131,0,
323,131,0,
321,130,0,
317,131,0,
315,131,0,
314,130,0,
311,129,0,
309,130,0,
306,131,0,
305,130,0,
303,130,0,
300,130,0,
298,131,0,
297,129,0,
294,130,0,
292,130,0,
291,130,0,
290,130,0,
288,128,0,
285,130,0,
284,130,0,
284,130,0,
283,128,0,
281,130,0,
279,130,0,
279,130,0,
279,129,0,
279,128,0,
277,130,0,
278,129,0,
277,129,0,
277,129,0,
276,130,0,
275,129,0,
277,129,0,
276,129,0,
276,130,0,
277,129,0,
277,128,0,
276,129,0,
277,130,0,
278,129,0,
277,129,0,
278,129,0,
278,129,0,
279,129,0,
281,128,0,
282,129,0,
282,129,0,
285,128,0,
286,128,0,
288,129,0,
289,129,0,
290,129,0,
291,128,0,
292,129,0,
295,129,0,
294,130,0,
294,129,0,
294,130,0,
294,129,0,
297,128,0,
295,129,0,
297,129,0,
297,129,0,
297,128,0,
296,130,0,
298,128,0,
295,130,0,
297,128,0,
296,129,0,
296,129,0,
296,130,0,
296,129,0,
294,130,0,
295,128,0,
294,130,0,
295,128,0,
296,129,0,
295,130,0,
296,129,0,
297,129,0,
297,130,0,
296,130,0,
298,129,0,
298,128,0,
297,130,0,
298,129,0,
298,129,0,
299,129,0,
298,130,0,
299,129,0,
299,128,0,
299,129,0,
300,130,0,
300,129,0,
299,128,0,
299,129,0,
298,130,0,
298,129,0,
299,129,0,
298,129,0,
296,130,0,
295,129,0,
296,129,0,
295,129,0,
294,130,0,
294,129,0,
294,129,0,
292,130,0,
292,130,0,
292,129,0,
294,129,0,
294,130,0,
297,129,0,
300,128,0,
304,130,0,
310,129,0,
317,129,0,
324,130,0,
335,130,0,
347,129,0,
361,128,0,
374,131,0,
391,129,0,
406,130,0,
424,129,0,
442,130,0,
461,130,0,
477,131,0,
495,129,0,
511,130,0,
528,131,0,
544,130,0,
558,131,0,
570,131,0,
581,133,0,
590,131,0,
598,131,0,
604,132,0,
608,133,0,
609,132,0,
609,133,0,
610,132,0,
605,134,0,
601,133,0,
595,133,0,
589,133,0,
579,134,0,
571,133,0,
560,134,0,
549,134,0,
537,132,0,
524,135,0,
512,132,0,
498,134,0,
485,132,0,
473,132,0,
460,133,0,
448,132,0,
433,133,0,
421,132,0,
408,133,0,
398,132,0,
385,133,0,
374,133,0,
363,132,0,
353,132,0,
343,132,0,
334,131,0,
325,131,0,
317,132,0,
309,130,0,
302,131,0,
297,130,0,
290,131,0,
286,130,0,
282,131,0,
280,130,0,
277,131,0,
275,130,0,
273,131,0,
273,130,0,
272,131,0,
275,129,0,
274,131,0,
275,130,0,
276,130,0,
279,129,0,
281,129,0,
284,129,0,
285,130,0,
289,129,0,
292,128,0,
295,130,0,
299,128,0,
301,130,0,
305,128,0,
309,129,0,
314,129,0,
317,130,0,
320,129,0,
322,130,0,
327,128,0,
331,129,0,
334,129,0,
337,128,0,
340,129,0,
341,128,0,
344,130,0,
346,128,0,
346,131,0,
347,128,0,
348,130,0,
348,129,0,
348,129,0,
347,131,0,
345,130,0,
343,131,0,
341,129,0,
338,130,0,
335,129,0,
331,130,0,
329,128,0,
324,130,0,
322,129,0,
317,131,0,
313,128,0,
308,130,0,
306,129,0,
301,130,0,
299,129,0,
294,130,0,
291,129,0,
287,128,0,
284,130,0,
281,129,0,
278,129,0,
276,128,0,
273,130,0,
271,130,0,
271,130,0,
269,128,0,
268,130,0,
269,129,0,
269,129,0,
268,130,0,
269,130,0,
269,129,0,
269,130,0,
270,130,0,
273,129,0,
273,130,0,
274,131,0,
277,129,0,
277,128,0,
277,130,0,
279,131,0,
281,129,0,
282,130,0,
282,131,0,
283,129,0,
285,129,0,
285,130,0,
287,129,0,
288,129,0,
288,130,0,
289,131,0,
291,129,0,
291,130,0,
291,130,0,
294,129,0,
295,129,0,
294,130,0,
296,131,0,
297,128,0,
297,130,0,
297,131,0,
299,129,0,
298,129,0,
298,131,0,
299,129,0,
299,129,0,
298,130,0,
300,129,0,
299,130,0,
298,131,0,
299,129,0,
298,130,0,
298,131,0,
299,130,0,
298,129,0,
298,130,0,
299,129,0,
297,130,0,
297,131,0,
298,130,0,
298,130,0,
298,131,0,
299,130,0,
297,130,0,
297,131,0,
298,129,0,
298,130,0,
298,131,0,
299,130,0,
300,130,0,
300,131,0,
301,130,0,
301,130,0,
300,131,0,
302,130,0,
301,130,0,
301,131,0,
303,130,0,
301,130,0,
302,131,0,
301,129,0,
300,130,0,
301,130,0,
300,131,0,
299,130,0,
298,131,0,
300,130,0,
300,131,0,
301,130,0,
301,131,0,
300,130,0,
302,130,0,
303,130,0,
305,130,0,
306,130,0,
310,130,0,
313,130,0,
319,129,0,
322,131,0,
329,130,0,
338,130,0,
347,130,0,
357,131,0,
368,130,0,
380,131,0,
393,131,0,
408,131,0,
422,131,0,
437,130,0,
452,131,0,
466,132,0,
482,132,0,
497,132,0,
511,132,0,
522,134,0,
535,132,0,
545,132,0,
556,133,0,
565,132,0,
572,134,0,
578,133,0,
583,134,0,
586,134,0,
588,133,0,
588,134,0,
587,135,0,
585,134,0,
581,134,0,
575,135,0,
571,135,0,
564,134,0,
555,135,0,
547,135,0,
539,134,0,
529,135,0,
520,135,0,
510,134,0,
499,135,0,
490,135,0,
480,134,0,
470,133,0,
458,135,0,
448,135,0,
438,133,0,
426,134,0,
416,134,0,
406,134,0,
395,135,0,
385,134,0,
375,133,0,
364,134,0,
355,134,0,
346,134,0,
337,133,0,
328,135,0,
322,133,0,
314,134,0,
308,132,0,
301,133,0,
297,133,0,
292,134,0,
287,132,0,
282,134,0,
279,132,0,
277,134,0,
275,133,0,
273,134,0,
273,132,0,
272,132,0,
274,133,0,
274,133,0,
276,133,0,
277,134,0,
282,132,0,
285,132,0,
290,133,0,
293,132,0,
298,132,0,
302,132,0,
308,133,0,
313,132,0,
317,131,0,
323,132,0,
328,132,0,
333,132,0,
339,133,0,
344,131,0,
346,133,0,
352,132,0,
355,132,0,
359,132,0,
360,132,0,
363,131,0,
364,132,0,
367,131,0,
369,130,0,
368,131,0,
368,132,0,
367,131,0,
367,130,0,
365,131,0,
365,131,0,
361,131,0,
360,131,0,
357,131,0,
354,131,0,
353,130,0,
348,131,0,
345,130,0,
341,131,0,
339,131,0,
334,131,0,
331,130,0,
325,131,0,
323,130,0,
319,130,0,
315,131,0,
310,130,0,
306,131,0,
303,130,0,
299,131,0,
298,130,0,
294,131,0,
291,129,0,
288,130,0,
287,129,0,
285,131,0,
284,129,0,
282,131,0,
281,129,0,
281,129,0,
280,130,0,
279,131,0,
279,130,0,
280,130,0,
279,129,0,
280,130,0,
281,129,0,
282,129,0,
283,130,0,
286,129,0,
287,129,0,
288,130,0,
290,128,0,
291,130,0,
293,128,0,
294,129,0,
297,129,0,
297,130,0,
298,129,0,
298,130,0,
300,129,0,
302,128,0,
303,129,0,
303,128,0,
304,129,0,
306,128,0,
306,130,0,
308,128,0,
308,130,0,
309,128,0,
310,128,0,
310,129,0,
310,129,0,
310,129,0,
309,128,0,
310,130,0,
312,128,0,
311,130,0,
311,128,0,
311,128,0,
310,129,0,
311,128,0,
311,128,0,
308,130,0,
310,129,0,
309,128,0,
308,129,0,
308,129,0,
307,128,0,
307,128,0,
305,129,0,
305,129,0,
304,128,0,
301,130,0,
302,129,0,
302,129,0,
300,129,0,
298,131,0,
300,129,0,
299,128,0,
298,130,0,
299,129,0,
301,129,0,
303,129,0,
304,130,0,
310,129,0,
315,128,0,
321,130,0,
328,131,0,
338,129,0,
349,129,0,
361,130,0,
374,130,0,
388,129,0,
402,130,0,
418,130,0,
435,129,0,
451,130,0,
468,131,0,
485,131,0,
501,130,0,
516,131,0,
532,132,0,
548,131,0,
560,131,0,
572,133,0,
583,133,0,
591,132,0,
598,134,0,
603,133,0,
608,132,0,
610,135,0,
611,132,0,
610,134,0,
608,134,0,
604,135,0,
600,134,0,
593,135,0,
586,134,0,
576,135,0,
567,136,0,
556,135,0,
545,135,0,
532,135,0,
520,134,0,
506,135,0,
492,135,0,
479,134,0,
464,135,0,
451,134,0,
436,134,0,
424,135,0,
409,134,0,
395,135,0,
384,133,0,
370,134,0,
359,135,0,
347,134,0,
335,134,0,
324,134,0,
312,135,0,
303,133,0,
292,134,0,
284,133,0,
275,134,0,
269,132,0,
262,134,0,
255,133,0,
251,132,0,
248,133,0,
244,134,0,
243,133,0,
242,132,0,
242,132,0,
242,133,0,
244,133,0,
247,132,0,
249,133,0,
252,133,0,
257,133,0,
261,132,0,
265,132,0,
270,133,0,
276,133,0,
283,132,0,
288,132,0,
293,133,0,
300,133,0,
305,132,0,
311,132,0,
316,133,0,
323,133,0,
328,132,0,
333,132,0,
336,133,0,
340,134,0,
345,133,0,
349,132,0,
351,134,0,
355,132,0,
356,134,0,
358,133,0,
359,132,0,
360,134,0,
360,133,0,
359,134,0,
360,133,0,
360,132,0,
358,134,0,
358,133,0,
355,134,0,
352,134,0,
350,134,0,
346,134,0,
343,133,0,
337,134,0,
335,133,0,
331,133,0,
326,134,0,
323,133,0,
317,134,0,
315,132,0,
309,134,0,
307,133,0,
302,133,0,
298,133,0,
295,132,0,
291,134,0,
290,133,0,
286,134,0,
283,133,0,
280,132,0,
278,133,0,
277,132,0,
274,133,0,
272,132,0,
270,133,0,
269,132,0,
268,134,0,
268,133,0,
266,133,0,
267,132,0,
266,134,0,
266,133,0,
268,132,0,
268,133,0,
268,132,0,
268,133,0,
270,133,0,
270,133,0,
271,133,0,
270,132,0,
271,132,0,
272,132,0,
272,133,0,
274,132,0,
273,134,0,
275,132,0,
276,132,0,
276,133,0,
277,133,0,
277,133,0,
279,132,0,
280,133,0,
282,133,0,
282,134,0,
284,133,0,
284,134,0,
286,133,0,
288,132,0,
288,134,0,
291,132,0,
290,134,0,
292,133,0,
295,132,0,
295,133,0,
297,133,0,
297,134,0,
299,133,0,
300,133,0,
301,133,0,
301,133,0,
302,133,0,
301,134,0,
302,134,0,
302,133,0,
301,134,0,
302,132,0,
302,133,0,
304,133,0,
303,134,0,
305,133,0,
304,134,0,
306,132,0,
307,133,0,
307,133,0,
307,134,0,
308,133,0,
308,134,0,
309,134,0,
310,133,0,
311,133,0,
311,132,0,
313,133,0,
316,132,0,
319,134,0,
323,133,0,
328,134,0,
336,132,0,
344,133,0,
353,133,0,
364,133,0,
375,135,0,
389,134,0,
404,132,0,
419,134,0,
437,134,0,
457,134,0,
477,133,0,
498,134,0,
519,135,0,
542,136,0,
563,134,0,
583,134,0,
602,135,0,
619,136,0,
635,136,0,
638,135,0,
638,136,0,
638,137,0,
639,137,0,
638,136,0,
638,138,0,
638,138,0,
639,138,0,
639,136,0,
638,137,0,
638,138,0,
638,139,0,
638,138,0,
639,138,0,
634,139,0,
620,139,0,
607,138,0,
592,138,0,
576,139,0,
562,139,0,
546,138,0,
531,137,0,
514,138,0,
499,139,0,
484,136,0,
468,138,0,
452,137,0,
438,136,0,
423,136,0,
408,138,0,
393,137,0,
380,136,0,
365,136,0,
353,137,0,
341,136,0,
330,135,0,
318,136,0,
308,137,0,
299,136,0,
290,134,0,
282,134,0,
275,135,0,
269,134,0,
264,135,0,
261,135,0,
259,133,0,
255,135,0,
255,132,0,
253,134,0,
255,133,0,
257,132,0,
257,133,0,
260,132,0,
261,133,0,
266,133,0,
270,132,0,
272,133,0,
276,133,0,
281,132,0,
284,133,0,
291,132,0,
294,132,0,
299,133,0,
303,132,0,
308,132,0,
313,131,0,
317,133,0,
321,131,0,
324,132,0,
330,132,0,
335,131,0,
337,133,0,
342,131,0,
344,132,0,
348,132,0,
351,132,0,
352,133,0,
354,132,0,
355,131,0,
356,132,0,
355,131,0,
354,133,0,
354,133,0,
353,132,0,
351,132,0,
348,132,0,
345,133,0,
342,131,0,
339,132,0,
335,132,0,
331,132,0,
326,133,0,
322,133,0,
320,131,0,
317,131,0,
313,132,0,
309,133,0,
307,133,0,
304,132,0,
301,132,0,
297,133,0,
295,132,0,
293,132,0,
289,131,0,
286,132,0,
284,131,0,
283,131,0,
278,132,0,
278,132,0,
277,131,0,
275,130,0,
273,132,0,
271,131,0,
270,131,0,
270,131,0,
269,130,0,
268,131,0,
266,131,0,
267,130,0,
267,130,0,
265,131,0,
266,131,0,
267,130,0,
265,131,0,
265,130,0,
265,130,0,
267,131,0,
267,130,0,
267,131,0,
267,130,0,
268,130,0,
269,129,0,
268,131,0,
269,129,0,
268,131,0,
269,129,0,
269,130,0,
270,131,0,
270,130,0,
270,130,0,
272,128,0,
272,130,0,
274,130,0,
275,130,0,
276,130,0,
276,129,0,
276,130,0,
279,129,0,
277,130,0,
279,129,0,
279,130,0,
280,130,0,
282,129,0,
281,130,0,
283,129,0,
283,130,0,
283,130,0,
285,129,0,
284,130,0,
285,129,0,
284,130,0,
285,129,0,
285,129,0,
284,131,0,
284,128,0,
283,130,0,
285,128,0,
285,129,0,
286,129,0,
286,128,0,
288,129,0,
288,128,0,
288,129,0,
290,129,0,
289,130,0,
290,129,0,
290,130,0,
291,129,0,
293,129,0,
293,130,0,
293,128,0,
293,129,0,
295,129,0,
293,130,0,
294,128,0,
293,130,0,
295,128,0,
295,128,0,
296,129,0,
296,129,0,
297,129,0,
299,128,0,
301,129,0,
307,129,0,
310,130,0,
316,129,0,
322,129,0,
329,130,0,
340,129,0,
349,130,0,
361,128,0,
371,130,0,
385,128,0,
398,129,0,
412,130,0,
425,129,0,
438,131,0,
452,129,0,
466,129,0,
478,131,0,
491,130,0,
500,131,0,
511,129,0,
521,130,0,
529,131,0,
537,130,0,
542,131,0,
549,130,0,
554,132,0,
558,131,0,
562,131,0,
564,132,0,
566,130,0,
567,131,0,
567,133,0,
568,132,0,
566,133,0,
564,132,0,
561,132,0,
558,133,0,
554,132,0,
548,134,0,
543,132,0,
538,132,0,
532,133,0,
526,132,0,
518,133,0,
511,133,0,
503,132,0,
495,132,0,
486,132,0,
479,133,0,
470,132,0,
461,132,0,
452,132,0,
442,133,0,
434,133,0,
427,131,0,
418,131,0,
408,132,0,
401,133,0,
395,131,0,
386,132,0,
379,131,0,
370,131,0,
364,131,0,
358,131,0,
351,129,0,
344,131,0,
339,131,0,
