id,video_start,data_start,offset_s
001-easy,14:41:41,14:41:41,0
001-hard,14:48:24,14:48:02,-22
002-easy,14:54:06,14:54:08,2
002-hard,14:57:50,14:57:46,-4
003-easy,15:03:36,15:03:32,-4
003-hard,15:06:24,15:06:02,-22
004-easy,15:15:05,15:15:04,-1
004-hard,15:19:45,15:19:44,-1
005-easy,15:25:42,15:25:41,-1
005-hard,15:29:06,15:29:03,-3
006-easy,15:35:33,15:35:32,-1
006-hard,15:41:17,15:41:13,-4
007-easy,15:46:43,15:46:40,-3
007-hard,15:49:01,15:49:00,-1
