sub_id,label,window_index,window_start_sec_ppg,status_ppg,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,window_start_sec_eda,status_eda,eda_mean_scl,eda_slope_scl,eda_num_scr,eda_mean_scr_amp,eda_sum_scr_amp,eda_variance,eda_range,eda_deriv_mean
1,neutral,0,0.0,ok,62.69387755102041,957.03125,163.64343801291727,0.0,421.875,1.0,1.0,70.3125,0.0,0.0,0.0,,0.2613695765812859,0.0,ok,347.14104427133844,0.9678932843257716,10,184.021030646234,1840.21030646234,8084.422843927057,309.37518727854564,0.0568145200616948
1,excitement,2,,,,,,,,,,,,,,,,30.0,ok,370.6410582357232,4.29127534072325,14,375.6274708440959,5258.784591817342,69623.86925473636,4765.471279858766,-0.018867865999684
1,excitement,3,,,,,,,,,,,,,,,,45.0,ok,365.0680851184479,-3.040043222749329,11,480.7556025238813,5288.311627762694,70249.11436671256,4765.47127985875,-0.0491933009838838
1,excitement,4,,,,,,,,,,,,,,,,60.0,ok,347.0781344338636,-2.112862232372036,11,150.03017021008318,1650.331872310915,7158.409937129224,341.7320634467188,-0.096518555260774
1,excitement,5,,,,,,,,,,,,,,,,75.0,ok,327.9489777972132,2.385000806455779,10,162.15845796321827,1621.5845796321826,6776.072253258445,327.95226031838706,0.0442646379038778
1,excitement,6,,,,,,,,,,,,,,,,90.0,ok,336.0951599751651,0.6320695885681785,12,133.44955661004226,1601.394679320507,6839.7461248026975,374.25572457956434,-0.0057249503646356
1,frustration,7,,,,,,,,,,,,,,,,105.0,ok,333.86630864766454,1.3587538794258966,12,152.91117057955117,1834.934046954614,7689.912518058241,374.2552445366771,0.0077203607135071
1,frustration,8,,,,,,,,,,,,,,,,120.0,ok,340.82494207116883,3.0093701680629272,11,188.71010254461524,2075.8111279907675,7454.992499378074,444.2603563601645,0.0112508106623604
1,frustration,2,,,,,,,,,,,,,,,,30.0,ok,351.4243211114683,1.0092928761984798,14,180.5783542053485,2528.0969588748794,14259.143047250363,543.2851752744953,0.0398345096912998
1,frustration,3,,,,,,,,,,,,,,,,45.0,ok,357.4329474963324,1.461466401224564,14,201.33880522404635,2818.743273136649,16273.90796210338,663.7996676102732,-0.0407328986424019
1,excitement,4,,,,,,,,,,,,,,,,60.0,ok,361.76085521085895,-0.5441055128814802,14,222.58381769929105,3116.1734477900745,22029.787281908008,669.6977050969879,0.1312075432492957
