sub_id,label,window_index,window_start_sec_ppg,status_ppg,bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,window_start_sec_eda,status_eda,eda_mean_scl,eda_slope_scl,eda_num_scr,eda_mean_scr_amp,eda_sum_scr_amp,eda_variance,eda_range,eda_deriv_mean
001,easy,0,0.0,ok,62.69387755102041,957.03125,163.64343801291727,0.0,421.875,1.0,1.0,70.3125,0.0,0.0,0.0,,0.2613695765812859,0.0,ok,347.1410395614743,0.9678937267738232,10,184.02103431391663,1840.2103431391663,8084.422843927094,309.375187278544,0.0568145200616944
001,easy,1,9.5,ok,62.950819672131146,953.125,167.80212180819805,55.60978256266308,348.21905521764126,1.0,1.0,31.25,226.84668479565173,5.208333333333355,3711.7702002355295,43.55456348076495,0.3498950314905528,15.0,ok,349.3504476752553,-0.009826687564669,10,137.57978459298084,1375.7978459298083,5793.826310838664,296.87352597151875,-0.0423260997243998
001,easy,2,,,,,,,,,,,,,,,,30.0,ok,370.6410735962165,4.291275685177093,14,375.6274531626833,5258.784344277567,69623.8692547365,4765.471279858755,-0.0188678659996853
001,easy,3,,,,,,,,,,,,,,,,45.0,ok,365.0680856006013,-3.040043214399432,11,480.7556031410412,5288.311634551453,70249.11436671302,4765.471279858764,-0.0491933009838851
001,easy,4,,,,,,,,,,,,,,,,60.0,ok,347.0781342148397,-2.1128620674608927,11,150.03017044099877,1650.3318748509864,7158.409937129207,341.7320634467179,-0.0965185552607766
001,easy,5,,,,,,,,,,,,,,,,75.0,ok,327.9489749199891,2.38500116075935,10,162.15846086575297,1621.5846086575298,6776.072253258496,327.95226031838695,0.0442646379038796
001,easy,6,,,,,,,,,,,,,,,,90.0,ok,336.09516225322545,0.6320696534577802,12,133.44955366439095,1601.3946439726913,6839.746124802703,374.2557245795607,-0.0057249503646379
001,easy,7,,,,,,,,,,,,,,,,105.0,ok,333.866308661334,1.3587538990658568,12,152.91116970730727,1834.934036487687,7689.912518058274,374.25524453667504,0.0077203607135082
001,easy,8,,,,,,,,,,,,,,,,120.0,ok,340.8249430259943,3.009370205294788,11,188.71010186546343,2075.8111205200976,7454.992499378166,444.26035636016655,0.01125081066236
001,easy,9,,,,,,,,,,,,,,,,135.0,ok,378.6682307077479,-1.6223470336675443,13,139.98647143129665,1819.8241286068564,9266.64726535784,419.2248595948514,-0.0607149709048058
