rec_id,label,EDA,PPG
001-hard,,301,128
001-hard,,300,130
001-hard,,300,131
001-hard,,300,131
001-hard,,300,130
001-hard,,301,130
001-hard,,300,130
001-hard,,301,131
001-hard,,302,130
001-hard,,301,131
001-hard,,301,130
001-hard,,300,131
001-hard,,301,131
001-hard,,299,131
001-hard,,298,131
001-hard,,295,131
001-hard,,295,130
001-hard,,295,130
001-hard,,294,131
001-hard,,293,130
001-hard,,292,131
001-hard,,291,130
001-hard,,290,131
001-hard,,290,130
001-hard,,288,131
001-hard,,288,130
001-hard,,285,131
001-hard,,286,131
001-hard,,286,130
001-hard,,285,131
001-hard,,284,130
001-hard,,283,131
001-hard,,283,131
001-hard,,282,131
001-hard,,283,131
001-hard,,281,131
001-hard,,283,130
001-hard,,283,130
001-hard,,284,131
001-hard,,287,131
001-hard,,290,131
001-hard,,296,130
001-hard,,301,131
001-hard,,311,131
001-hard,,320,131
001-hard,,331,131
001-hard,,342,132
001-hard,,358,131
001-hard,,373,132
001-hard,,389,133
001-hard,,406,132
001-hard,,422,133
001-hard,,441,132
001-hard,,459,132
001-hard,,477,133
001-hard,,493,132
001-hard,,509,133
001-hard,,526,132
001-hard,,540,134
001-hard,,554,134
001-hard,,566,134
001-hard,,577,135
001-hard,,586,134
001-hard,,594,135
001-hard,,601,134
001-hard,,603,135
001-hard,,607,134
001-hard,,607,136
001-hard,,606,137
001-hard,,604,135
001-hard,,600,137
001-hard,,594,136
001-hard,,587,137
001-hard,,580,137
001-hard,,570,137
001-hard,,560,136
001-hard,,547,137
001-hard,,537,136
001-hard,,524,135
001-hard,,512,137
001-hard,,499,136
001-hard,,485,137
001-hard,,472,136
001-hard,,458,137
001-hard,,446,135
001-hard,,432,137
001-hard,,419,136
001-hard,,406,137
001-hard,,393,135
001-hard,,380,136
001-hard,,369,136
001-hard,,356,136
001-hard,,345,134
001-hard,,333,135
001-hard,,324,135
001-hard,,314,134
001-hard,,304,135
001-hard,,296,134
001-hard,,287,135
001-hard,,282,134
001-hard,,274,134
001-hard,,270,134
001-hard,,264,134
001-hard,,262,133
001-hard,,258,132
001-hard,,256,133
001-hard,,253,132
001-hard,,252,133
001-hard,,252,132
001-hard,,252,133
001-hard,,254,131
001-hard,,254,133
001-hard,,257,132
001-hard,,257,132
001-hard,,262,131
001-hard,,266,130
001-hard,,270,131
001-hard,,275,131
001-hard,,278,132
001-hard,,283,130
001-hard,,287,131
001-hard,,293,130
001-hard,,296,131
001-hard,,302,131
001-hard,,306,130
001-hard,,309,130
001-hard,,312,130
001-hard,,316,131
001-hard,,322,131
001-hard,,325,130
001-hard,,327,131
001-hard,,329,131
001-hard,,333,131
001-hard,,335,129
001-hard,,336,130
001-hard,,337,131
001-hard,,338,131
001-hard,,340,131
001-hard,,341,129
001-hard,,341,130
001-hard,,340,131
001-hard,,340,131
001-hard,,340,131
001-hard,,339,130
001-hard,,337,130
001-hard,,336,131
001-hard,,334,131
001-hard,,332,130
001-hard,,330,130
001-hard,,326,130
001-hard,,324,131
001-hard,,323,131
001-hard,,321,130
001-hard,,317,131
001-hard,,315,131
001-hard,,314,130
001-hard,,311,129
001-hard,,309,130
001-hard,,306,131
001-hard,,305,130
001-hard,,303,130
001-hard,,300,130
001-hard,,298,131
001-hard,,297,129
001-hard,,294,130
001-hard,,292,130
001-hard,,291,130
001-hard,,290,130
001-hard,,288,128
001-hard,,285,130
001-hard,,284,130
001-hard,,284,130
001-hard,,283,128
001-hard,,281,130
001-hard,,279,130
001-hard,,279,130
001-hard,,279,129
001-hard,,279,128
001-hard,,277,130
001-hard,,278,129
001-hard,,277,129
