rec_id,label,EDA,PPG
004-hard,,363,282
004-hard,,363,282
004-hard,,362,280
004-hard,,362,280
004-hard,,360,280
004-hard,,360,282
004-hard,,358,281
004-hard,,358,280
004-hard,,358,280
004-hard,,358,280
004-hard,,358,281
004-hard,,357,280
004-hard,,357,280
004-hard,,356,279
004-hard,,356,281
004-hard,,357,280
004-hard,,356,281
004-hard,,356,280
004-hard,,356,279
004-hard,,357,281
004-hard,,357,282
004-hard,,356,279
004-hard,,356,280
004-hard,,355,279
004-hard,,355,281
004-hard,,356,280
004-hard,,356,280
004-hard,,354,280
004-hard,,355,280
004-hard,,355,280
004-hard,,356,281
004-hard,,354,281
004-hard,,355,280
004-hard,,355,279
004-hard,,355,281
004-hard,,357,281
004-hard,,356,280
004-hard,,356,279
004-hard,,356,279
004-hard,,356,280
004-hard,,357,280
004-hard,,356,280
004-hard,,356,279
004-hard,,355,280
004-hard,,355,282
004-hard,,355,281
004-hard,,356,279
004-hard,,355,279
004-hard,,355,279
004-hard,,355,282
004-hard,,354,281
004-hard,,355,280
004-hard,,354,280
004-hard,,353,281
004-hard,,353,281
004-hard,,353,280
004-hard,,354,279
004-hard,,354,278
004-hard,,353,280
004-hard,,353,281
004-hard,,354,280
004-hard,,353,279
004-hard,,352,279
004-hard,,352,281
004-hard,,352,282
004-hard,,353,280
004-hard,,352,280
004-hard,,352,279
004-hard,,352,280
004-hard,,353,281
004-hard,,352,280
004-hard,,352,279
004-hard,,351,279
004-hard,,351,280
004-hard,,350,281
004-hard,,352,279
004-hard,,351,279
004-hard,,350,280
004-hard,,350,281
004-hard,,350,281
004-hard,,349,279
004-hard,,349,280
004-hard,,349,279
004-hard,,348,281
004-hard,,348,280
004-hard,,347,278
004-hard,,347,279
004-hard,,346,280
004-hard,,346,281
004-hard,,346,279
004-hard,,347,279
004-hard,,346,279
004-hard,,347,281
004-hard,,346,281
004-hard,,346,280
004-hard,,347,279
004-hard,,346,279
004-hard,,346,279
004-hard,,346,281
004-hard,,346,280
004-hard,,346,279
004-hard,,347,278
004-hard,,346,279
004-hard,,346,281
004-hard,,347,279
004-hard,,346,279
004-hard,,346,279
004-hard,,346,280
004-hard,,347,281
004-hard,,346,279
004-hard,,346,279
004-hard,,346,279
004-hard,,345,280
004-hard,,345,281
004-hard,,343,279
004-hard,,344,279
004-hard,,343,279
004-hard,,344,280
004-hard,,343,280
004-hard,,342,279
004-hard,,342,280
004-hard,,342,278
004-hard,,343,281
004-hard,,343,280
004-hard,,344,280
004-hard,,344,278
004-hard,,345,279
004-hard,,347,281
004-hard,,348,279
004-hard,,348,279
004-hard,,350,279
004-hard,,351,278
004-hard,,353,281
004-hard,,353,281
004-hard,,355,280
004-hard,,356,278
004-hard,,358,279
004-hard,,359,281
004-hard,,362,280
004-hard,,362,279
004-hard,,362,279
004-hard,,364,280
004-hard,,365,281
004-hard,,367,279
004-hard,,367,280
004-hard,,367,280
004-hard,,368,280
004-hard,,369,281
004-hard,,371,282
004-hard,,371,281
004-hard,,372,281
004-hard,,372,282
004-hard,,372,283
004-hard,,373,280
004-hard,,373,281
004-hard,,373,281
004-hard,,373,283
004-hard,,373,283
004-hard,,373,281
004-hard,,372,281
004-hard,,372,281
004-hard,,371,282
004-hard,,371,282
004-hard,,371,282
004-hard,,370,282
004-hard,,368,281
004-hard,,367,283
004-hard,,366,283
004-hard,,366,282
004-hard,,366,281
004-hard,,365,280
004-hard,,364,283
004-hard,,364,282
004-hard,,362,281
004-hard,,362,281
004-hard,,359,281
004-hard,,360,283
004-hard,,359,281
004-hard,,359,282
004-hard,,357,282
004-hard,,357,282
004-hard,,356,284
004-hard,,356,282
004-hard,,356,281
004-hard,,355,281
004-hard,,355,283
004-hard,,354,282
004-hard,,354,281
004-hard,,354,280
004-hard,,355,281
004-hard,,356,281
004-hard,,356,283
004-hard,,355,282
004-hard,,356,281
004-hard,,357,281
004-hard,,357,282
004-hard,,356,282
004-hard,,358,281
004-hard,,358,281
004-hard,,358,280
004-hard,,358,281
004-hard,,358,282
004-hard,,358,280
004-hard,,358,280
004-hard,,358,280
004-hard,,357,283
004-hard,,357,281
004-hard,,356,282
004-hard,,357,281
004-hard,,356,281
004-hard,,355,282
004-hard,,355,283
004-hard,,355,282
004-hard,,354,281
004-hard,,355,281
004-hard,,354,283
004-hard,,354,282
004-hard,,353,281
004-hard,,352,281
004-hard,,352,281
004-hard,,352,282
004-hard,,351,281
004-hard,,351,280
004-hard,,352,282
004-hard,,350,281
004-hard,,351,283
004-hard,,352,282
004-hard,,352,281
004-hard,,352,280
004-hard,,351,282
004-hard,,352,282
004-hard,,352,282
004-hard,,352,281
004-hard,,352,281
004-hard,,352,282
004-hard,,353,283
004-hard,,354,281
004-hard,,354,282
004-hard,,354,280
004-hard,,355,283
004-hard,,355,283
004-hard,,355,281
004-hard,,355,282
004-hard,,355,281
004-hard,,354,282
004-hard,,357,282
004-hard,,356,282
004-hard,,354,281
004-hard,,355,281
004-hard,,352,283
004-hard,,353,283
004-hard,,354,281
004-hard,,352,282
004-hard,,352,281
004-hard,,352,283
004-hard,,351,282
004-hard,,351,282
004-hard,,350,281
004-hard,,349,281
004-hard,,348,283
004-hard,,349,283
004-hard,,349,281
004-hard,,348,280
004-hard,,347,281
004-hard,,348,282
004-hard,,348,282
004-hard,,348,281
004-hard,,347,281
004-hard,,346,281
004-hard,,347,283
004-hard,,347,282
004-hard,,348,281
004-hard,,347,282
004-hard,,345,281
004-hard,,347,283
004-hard,,348,282
004-hard,,348,281
004-hard,,348,281
004-hard,,348,283
004-hard,,348,283
004-hard,,350,282
004-hard,,350,281
004-hard,,351,280
004-hard,,350,282
004-hard,,351,283
004-hard,,351,281
004-hard,,351,281
004-hard,,350,281
004-hard,,351,282
004-hard,,351,283
004-hard,,349,281
004-hard,,348,281
004-hard,,348,281
004-hard,,348,283
004-hard,,346,283
004-hard,,346,281
004-hard,,345,281
004-hard,,344,281
004-hard,,343,281
004-hard,,342,282
004-hard,,341,282
004-hard,,340,281
004-hard,,340,280
004-hard,,339,283
004-hard,,340,280
004-hard,,340,280
004-hard,,341,281
004-hard,,341,281
004-hard,,341,282
004-hard,,344,281
004-hard,,345,281
004-hard,,346,281
004-hard,,346,281
004-hard,,348,283
004-hard,,349,281
004-hard,,352,280
004-hard,,352,281
004-hard,,354,282
004-hard,,355,283
004-hard,,358,281
004-hard,,360,281
004-hard,,361,281
004-hard,,361,282
004-hard,,363,283
004-hard,,364,282
004-hard,,366,280
004-hard,,367,282
004-hard,,367,283
004-hard,,367,283
004-hard,,367,282
004-hard,,369,282
004-hard,,370,282
004-hard,,368,282
004-hard,,368,284
004-hard,,369,281
004-hard,,368,282
004-hard,,369,282
004-hard,,368,283
004-hard,,367,284
004-hard,,367,282
004-hard,,367,282
004-hard,,366,282
004-hard,,366,284
004-hard,,365,283
004-hard,,363,283
004-hard,,362,283
004-hard,,363,281
004-hard,,362,284
004-hard,,363,284
004-hard,,362,281
004-hard,,362,282
004-hard,,361,283
004-hard,,361,285
004-hard,,360,284
004-hard,,361,283
004-hard,,361,283
004-hard,,361,283
004-hard,,360,284
004-hard,,361,283
004-hard,,360,282
004-hard,,360,283
004-hard,,359,283
004-hard,,361,284
004-hard,,360,284
004-hard,,360,283
004-hard,,360,281
004-hard,,360,283
004-hard,,360,284
004-hard,,359,283
004-hard,,359,281
004-hard,,360,283
004-hard,,359,283
004-hard,,362,284
004-hard,,362,284
004-hard,,362,282
004-hard,,363,283
004-hard,,363,284
004-hard,,365,284
004-hard,,364,283
004-hard,,363,283
004-hard,,363,283
004-hard,,363,283
004-hard,,362,285
004-hard,,362,283
004-hard,,361,283
004-hard,,360,283
004-hard,,360,285
004-hard,,361,284
004-hard,,360,282
004-hard,,358,283
004-hard,,358,282
004-hard,,357,284
004-hard,,357,284
004-hard,,357,282
004-hard,,354,283
004-hard,,356,282
004-hard,,355,283
004-hard,,356,284
004-hard,,355,283
004-hard,,353,283
004-hard,,353,283
004-hard,,353,283
004-hard,,353,284
004-hard,,354,283
004-hard,,353,282
004-hard,,352,283
004-hard,,354,284
004-hard,,353,283
004-hard,,353,283
004-hard,,354,283
004-hard,,352,284
004-hard,,352,284
004-hard,,352,283
004-hard,,351,283
004-hard,,351,282
004-hard,,349,284
004-hard,,350,284
004-hard,,349,283
004-hard,,350,282
004-hard,,348,282
004-hard,,348,283
004-hard,,348,284
004-hard,,348,282
004-hard,,347,282
004-hard,,346,283
004-hard,,345,282
004-hard,,346,284
004-hard,,344,283
004-hard,,346,282
004-hard,,345,282
004-hard,,345,283
004-hard,,345,283
004-hard,,346,281
004-hard,,345,282
004-hard,,345,281
004-hard,,345,283
004-hard,,346,283
004-hard,,347,281
004-hard,,348,281
004-hard,,348,281
004-hard,,349,284
004-hard,,349,283
004-hard,,350,282
004-hard,,348,282
004-hard,,348,282
004-hard,,350,283
004-hard,,350,283
004-hard,,350,281
004-hard,,350,282
004-hard,,350,282
004-hard,,348,283
004-hard,,349,283
004-hard,,348,282
004-hard,,349,282
004-hard,,349,283
004-hard,,348,284
004-hard,,349,281
004-hard,,347,282
004-hard,,347,282
004-hard,,345,282
004-hard,,345,284
004-hard,,346,282
004-hard,,346,281
004-hard,,344,280
004-hard,,343,282
004-hard,,344,282
004-hard,,342,282
004-hard,,341,281
004-hard,,341,280
004-hard,,340,281
004-hard,,341,283
004-hard,,339,281
004-hard,,340,282
004-hard,,338,281
004-hard,,338,283
004-hard,,339,281
004-hard,,337,281
004-hard,,336,281
004-hard,,336,282
004-hard,,336,283
004-hard,,338,283
004-hard,,338,281
004-hard,,339,282
004-hard,,339,281
004-hard,,340,284
004-hard,,342,282
004-hard,,342,281
004-hard,,342,281
004-hard,,342,281
004-hard,,344,282
004-hard,,346,282
004-hard,,346,281
004-hard,,348,280
004-hard,,347,282
004-hard,,350,283
004-hard,,351,282
004-hard,,351,281
004-hard,,353,281
004-hard,,353,283
004-hard,,354,283
004-hard,,354,282
004-hard,,355,282
004-hard,,356,281
004-hard,,355,281
004-hard,,357,284
004-hard,,358,282
004-hard,,357,282
004-hard,,357,282
004-hard,,358,283
004-hard,,358,284
004-hard,,359,282
004-hard,,359,281
004-hard,,359,282
004-hard,,359,284
