rec_id,time_into_video,label,EDA,PPG
005-easy,0:21,Frustrated,376,379
005-easy,0:21,Frustrated,377,377
005-easy,0:21,Frustrated,380,377
005-easy,0:21,Frustrated,382,380
005-easy,0:21,Frustrated,384,380
005-easy,0:21,Frustrated,383,379
005-easy,0:21,Frustrated,384,377
005-easy,0:21,Frustrated,385,377
005-easy,0:21,Frustrated,387,380
005-easy,0:21,Frustrated,385,382
005-easy,0:21,Frustrated,386,377
005-easy,0:21,Frustrated,383,378
005-easy,0:21,Frustrated,385,377
005-easy,0:21,Frustrated,385,380
005-easy,0:21,Frustrated,385,380
005-easy,0:21,Frustrated,383,378
005-easy,0:21,Frustrated,383,376
005-easy,0:21,Frustrated,380,378
005-easy,0:21,Frustrated,381,381
005-easy,0:21,Frustrated,378,381
005-easy,0:21,Frustrated,378,377
005-easy,0:21,Frustrated,375,377
005-easy,0:21,Frustrated,375,376
005-easy,0:21,Frustrated,373,381
005-easy,0:21,Frustrated,373,380
005-easy,0:21,Frustrated,370,378
005-easy,0:21,Frustrated,368,376
005-easy,0:21,Frustrated,367,378
005-easy,0:21,Frustrated,366,380
005-easy,0:21,Frustrated,365,379
005-easy,0:21,Frustrated,362,377
005-easy,0:21,Frustrated,361,377
005-easy,0:21,Frustrated,359,378
005-easy,0:21,Frustrated,358,381
005-easy,0:21,Frustrated,357,379
005-easy,0:21,Frustrated,355,377
005-easy,0:21,Frustrated,353,377
005-easy,0:21,Frustrated,353,378
005-easy,0:21,Frustrated,351,380
005-easy,0:21,Frustrated,350,379
005-easy,0:21,Frustrated,349,376
005-easy,0:21,Frustrated,347,377
005-easy,0:21,Frustrated,347,378
005-easy,0:21,Frustrated,344,381
005-easy,0:21,Frustrated,345,378
005-easy,0:21,Frustrated,343,377
005-easy,0:21,Frustrated,343,377
005-easy,0:21,Frustrated,342,378
005-easy,0:21,Frustrated,342,381
005-easy,0:21,Frustrated,343,376
005-easy,0:21,Frustrated,342,378
005-easy,0:21,Frustrated,343,376
005-easy,0:21,Frustrated,342,380
005-easy,0:21,Frustrated,343,380
005-easy,0:21,Frustrated,344,377
005-easy,0:21,Frustrated,344,376
005-easy,0:21,Frustrated,344,376
005-easy,0:21,Frustrated,344,380
005-easy,0:21,Frustrated,345,379
005-easy,0:21,Frustrated,345,377
005-easy,0:21,Frustrated,347,375
005-easy,0:21,Frustrated,345,376
005-easy,0:21,Frustrated,346,379
005-easy,0:21,Frustrated,346,379
005-easy,0:21,Frustrated,349,377
005-easy,0:21,Frustrated,349,376
005-easy,0:21,Frustrated,349,376
005-easy,0:21,Frustrated,349,380
005-easy,0:21,Frustrated,350,379
005-easy,0:21,Frustrated,351,376
005-easy,0:21,Frustrated,350,376
005-easy,0:21,Frustrated,351,376
005-easy,0:21,Frustrated,350,380
005-easy,0:21,Frustrated,350,377
005-easy,0:21,Frustrated,350,376
005-easy,0:21,Frustrated,351,376
005-easy,0:21,Frustrated,349,377
005-easy,0:21,Frustrated,350,380
005-easy,0:21,Frustrated,348,378
005-easy,0:21,Frustrated,350,376
005-easy,0:21,Frustrated,351,375
005-easy,0:21,Frustrated,350,378
005-easy,0:21,Frustrated,350,380
005-easy,0:21,Frustrated,350,377
005-easy,0:21,Frustrated,351,376
005-easy,0:21,Frustrated,350,376
005-easy,0:21,Frustrated,352,378
005-easy,0:21,Frustrated,351,380
005-easy,0:21,Frustrated,351,376
005-easy,0:21,Frustrated,350,375
005-easy,0:21,Frustrated,351,375
005-easy,0:21,Frustrated,348,379
005-easy,0:21,Frustrated,348,380
005-easy,0:21,Frustrated,345,377
005-easy,0:21,Frustrated,345,375
005-easy,0:21,Frustrated,344,375
005-easy,0:21,Frustrated,344,378
005-easy,0:21,Frustrated,343,379
005-easy,0:21,Frustrated,343,376
005-easy,0:21,Frustrated,343,375
005-easy,0:21,Frustrated,342,375
005-easy,0:21,Frustrated,341,379
005-easy,0:21,Frustrated,342,379
005-easy,0:21,Frustrated,342,375
005-easy,0:21,Frustrated,341,375
005-easy,0:21,Frustrated,342,375
005-easy,0:21,Frustrated,343,378
005-easy,0:21,Frustrated,342,378
005-easy,0:21,Frustrated,341,376
005-easy,0:21,Frustrated,342,375
005-easy,0:21,Frustrated,343,374
005-easy,0:21,Frustrated,343,379
005-easy,0:21,Frustrated,343,378
005-easy,0:21,Frustrated,347,375
005-easy,0:21,Frustrated,346,375
005-easy,0:21,Frustrated,348,376
005-easy,0:21,Frustrated,351,380
005-easy,0:21,Frustrated,354,376
005-easy,0:21,Frustrated,356,376
005-easy,0:21,Frustrated,363,375
005-easy,0:21,Frustrated,367,375
005-easy,0:21,Frustrated,372,380
005-easy,0:21,Frustrated,376,378
005-easy,0:21,Frustrated,382,376
005-easy,0:21,Frustrated,387,374
005-easy,0:21,Frustrated,391,377
005-easy,0:21,Frustrated,394,381
005-easy,0:21,Frustrated,398,377
005-easy,0:21,Frustrated,401,374
005-easy,0:21,Frustrated,404,375
005-easy,0:21,Frustrated,407,379
005-easy,0:21,Frustrated,410,380
005-easy,0:21,Frustrated,413,377
005-easy,0:21,Frustrated,416,376
005-easy,0:21,Frustrated,418,374
005-easy,0:21,Frustrated,421,379
005-easy,0:21,Frustrated,424,381
005-easy,0:21,Frustrated,427,376
005-easy,0:21,Frustrated,429,376
005-easy,0:21,Frustrated,431,376
005-easy,0:21,Frustrated,433,379
005-easy,0:21,Frustrated,434,380
005-easy,0:21,Frustrated,435,377
005-easy,0:21,Frustrated,436,376
005-easy,0:21,Frustrated,435,374
005-easy,0:21,Frustrated,435,380
005-easy,0:21,Frustrated,433,380
005-easy,0:21,Frustrated,432,377
005-easy,0:21,Frustrated,431,376
005-easy,0:21,Frustrated,429,376
005-easy,0:21,Frustrated,426,382
005-easy,0:21,Frustrated,424,381
005-easy,0:21,Frustrated,421,377
005-easy,0:21,Frustrated,419,377
005-easy,0:21,Frustrated,416,377
005-easy,0:21,Frustrated,413,380
005-easy,0:21,Frustrated,410,380
005-easy,0:31,Frustrated,327,388
005-easy,0:31,Frustrated,328,391
005-easy,0:31,Frustrated,329,393
005-easy,0:31,Frustrated,327,390
005-easy,0:31,Frustrated,327,388
005-easy,0:31,Frustrated,324,388
005-easy,0:31,Frustrated,323,392
005-easy,0:31,Frustrated,321,393
005-easy,0:31,Frustrated,317,390
005-easy,0:31,Frustrated,316,388
005-easy,0:31,Frustrated,314,388
005-easy,0:31,Frustrated,311,392
005-easy,0:31,Frustrated,311,393
005-easy,0:31,Frustrated,309,390
005-easy,0:31,Frustrated,310,388
005-easy,0:31,Frustrated,309,388
005-easy,0:31,Frustrated,308,392
005-easy,0:31,Frustrated,308,392
005-easy,0:31,Frustrated,308,389
005-easy,0:31,Frustrated,308,389
005-easy,0:31,Frustrated,308,388
005-easy,0:31,Frustrated,308,393
005-easy,0:31,Frustrated,309,391
005-easy,0:31,Frustrated,311,389
005-easy,0:31,Frustrated,312,388
005-easy,0:31,Frustrated,312,389
005-easy,0:31,Frustrated,316,393
005-easy,0:31,Frustrated,316,390
005-easy,0:31,Frustrated,318,388
005-easy,0:31,Frustrated,321,388
005-easy,0:31,Frustrated,323,389
005-easy,0:31,Frustrated,327,393
005-easy,0:31,Frustrated,329,391
005-easy,0:31,Frustrated,332,388
005-easy,0:31,Frustrated,335,388
005-easy,0:31,Frustrated,336,390
005-easy,0:31,Frustrated,339,393
005-easy,0:31,Frustrated,337,391
005-easy,0:31,Frustrated,339,389
005-easy,0:31,Frustrated,337,389
005-easy,0:31,Frustrated,338,389
005-easy,0:31,Frustrated,338,393
005-easy,0:31,Frustrated,340,391
005-easy,0:31,Frustrated,340,388
005-easy,0:31,Frustrated,341,389
005-easy,0:31,Frustrated,344,389
005-easy,0:31,Frustrated,348,394
005-easy,0:31,Frustrated,351,391
005-easy,0:31,Frustrated,354,388
005-easy,0:31,Frustrated,357,389
005-easy,0:31,Frustrated,360,391
005-easy,0:31,Frustrated,366,393
005-easy,0:31,Frustrated,369,390
005-easy,0:31,Frustrated,374,389
005-easy,0:31,Frustrated,377,389
005-easy,0:31,Frustrated,381,392
005-easy,0:31,Frustrated,385,393
