rec_id,label,EDA,PPG
001-easy,,549,214
001-easy,,544,215
001-easy,,539,215
001-easy,,533,216
001-easy,,526,216
001-easy,,520,216
001-easy,,513,215
001-easy,,507,217
001-easy,,500,216
001-easy,,493,216
001-easy,,484,216
001-easy,,479,216
001-easy,,471,215
001-easy,,464,217
001-easy,,457,215
001-easy,,449,216
001-easy,,442,215
001-easy,,434,215
001-easy,,428,214
001-easy,,420,215
001-easy,,413,214
001-easy,,406,213
001-easy,,400,213
001-easy,,393,214
001-easy,,387,212
001-easy,,380,213
001-easy,,375,210
001-easy,,369,211
001-easy,,366,211
001-easy,,359,210
001-easy,,356,209
001-easy,,351,209
001-easy,,348,209
001-easy,,346,207
001-easy,,342,208
001-easy,,341,206
001-easy,,338,207
001-easy,,338,207
001-easy,,337,205
001-easy,,335,206
001-easy,,335,204
001-easy,,333,206
001-easy,,334,205
001-easy,,335,204
001-easy,,335,205
001-easy,,336,202
001-easy,,336,203
001-easy,,338,203
001-easy,,339,203
001-easy,,340,203
001-easy,,341,202
001-easy,,342,202
001-easy,,343,201
001-easy,,344,203
001-easy,,345,201
001-easy,,344,202
001-easy,,345,201
001-easy,,346,200
001-easy,,345,200
001-easy,,344,200
001-easy,,344,200
001-easy,,344,200
001-easy,,343,200
001-easy,,341,200
001-easy,,340,200
001-easy,,339,200
001-easy,,337,198
001-easy,,334,199
001-easy,,332,200
001-easy,,330,200
001-easy,,328,198
001-easy,,325,198
001-easy,,321,199
001-easy,,319,199
001-easy,,318,198
001-easy,,314,198
001-easy,,312,198
001-easy,,309,198
001-easy,,308,198
001-easy,,305,197
001-easy,,302,198
001-easy,,301,197
001-easy,,299,197
001-easy,,298,196
001-easy,,297,196
001-easy,,293,196
001-easy,,292,197
001-easy,,292,197
001-easy,,291,195
001-easy,,289,195
001-easy,,288,195
001-easy,,288,195
001-easy,,288,193
001-easy,,286,194
001-easy,,286,195
001-easy,,286,195
001-easy,,286,194
001-easy,,285,193
001-easy,,284,194
001-easy,,283,194
001-easy,,283,193
001-easy,,281,192
001-easy,,281,193
001-easy,,280,193
001-easy,,280,194
001-easy,,280,193
001-easy,,279,192
001-easy,,279,192
001-easy,,279,192
001-easy,,278,192
001-easy,,279,192
001-easy,,276,192
001-easy,,277,192
001-easy,,277,191
001-easy,,276,192
001-easy,,276,191
001-easy,,274,192
001-easy,,275,191
001-easy,,275,190
001-easy,,275,191
001-easy,,275,190
001-easy,,273,191
001-easy,,274,191
001-easy,,275,190
001-easy,,274,191
001-easy,,275,190
001-easy,,273,191
001-easy,,275,190
001-easy,,273,191
001-easy,,274,191
001-easy,,274,190
001-easy,,274,191
001-easy,,275,190
001-easy,,275,189
001-easy,,278,190
001-easy,,278,191
001-easy,,281,189
001-easy,,284,190
001-easy,,289,189
001-easy,,295,190
001-easy,,302,190
001-easy,,310,190
001-easy,,320,190
001-easy,,330,191
001-easy,,343,191
001-easy,,359,191
001-easy,,372,192
001-easy,,389,192
001-easy,,407,192
001-easy,,425,192
001-easy,,441,194
001-easy,,458,195
001-easy,,476,196
001-easy,,492,196
001-easy,,506,198
001-easy,,519,199
001-easy,,531,201
001-easy,,543,201
001-easy,,552,202
001-easy,,559,204
001-easy,,564,205
001-easy,,570,206
001-easy,,574,206
001-easy,,575,206
001-easy,,576,209
001-easy,,575,210
001-easy,,574,210
001-easy,,572,211
001-easy,,567,212
001-easy,,564,213
001-easy,,559,212
001-easy,,553,213
001-easy,,546,214
001-easy,,540,215
001-easy,,533,214
001-easy,,526,214
001-easy,,518,215
001-easy,,511,214
001-easy,,503,214
001-easy,,494,215
001-easy,,487,216
001-easy,,480,214
001-easy,,472,214
001-easy,,465,215
001-easy,,458,214
001-easy,,450,212
001-easy,,442,214
001-easy,,435,214
001-easy,,428,212
001-easy,,422,213
001-easy,,414,212
001-easy,,407,213
001-easy,,401,212
001-easy,,393,211
001-easy,,387,210
001-easy,,380,210
001-easy,,376,209
001-easy,,369,209
001-easy,,364,208
001-easy,,358,209
001-easy,,353,206
001-easy,,348,207
001-easy,,345,207
001-easy,,340,207
001-easy,,338,205
001-easy,,333,204
001-easy,,332,205
001-easy,,331,204
001-easy,,328,204
001-easy,,327,202
001-easy,,326,203
001-easy,,327,201
001-easy,,326,203
001-easy,,327,201
001-easy,,326,201
001-easy,,327,200
001-easy,,327,201
001-easy,,329,200
001-easy,,329,200
001-easy,,330,199
001-easy,,331,198
001-easy,,331,199
001-easy,,334,198
001-easy,,332,199
001-easy,,334,198
001-easy,,333,198
001-easy,,333,198
001-easy,,334,198
001-easy,,334,197
001-easy,,333,197
001-easy,,331,197
001-easy,,331,196
001-easy,,330,196
001-easy,,329,196
001-easy,,326,196
001-easy,,325,196
001-easy,,322,196
001-easy,,321,195
001-easy,,320,195
001-easy,,317,194
001-easy,,313,195
001-easy,,313,194
001-easy,,310,195
001-easy,,309,194
001-easy,,305,195
001-easy,,304,193
001-easy,,300,193
001-easy,,299,193
001-easy,,297,194
001-easy,,295,192
001-easy,,292,193
001-easy,,289,192
001-easy,,287,194
001-easy,,287,192
001-easy,,284,193
001-easy,,283,190
001-easy,,280,193
001-easy,,281,192
001-easy,,279,191
001-easy,,278,190
001-easy,,276,191
001-easy,,275,190
001-easy,,274,190
001-easy,,274,190
001-easy,,271,190
001-easy,,272,189
001-easy,,269,190
001-easy,,270,189
001-easy,,271,188
001-easy,,270,189
001-easy,,269,189
001-easy,,269,189
001-easy,,269,188
001-easy,,270,189
001-easy,,270,188
001-easy,,270,188
001-easy,,269,188
001-easy,,270,187
001-easy,,269,188
001-easy,,269,187
001-easy,,269,187
001-easy,,269,187
001-easy,,269,186
001-easy,,268,187
001-easy,,269,186
001-easy,,268,187
001-easy,,269,185
001-easy,,268,187
001-easy,,270,186
001-easy,,269,187
001-easy,,269,186
001-easy,,269,187
001-easy,,270,185
001-easy,,270,186
001-easy,,272,186
001-easy,,271,187
001-easy,,273,185
001-easy,,272,187
001-easy,,274,185
001-easy,,273,186
001-easy,,274,185
001-easy,,273,187
