rec_id,time_into_video,label,EDA,PPG
004-easy,0.23,Excited,337,323
004-easy,0.23,Excited,336,323
004-easy,0.23,Excited,335,323
004-easy,0.23,Excited,333,324
004-easy,0.23,Excited,332,323
004-easy,0.23,Excited,332,323
004-easy,0.23,Excited,332,322
004-easy,0.23,Excited,330,323
004-easy,0.23,Excited,331,322
004-easy,0.23,Excited,329,321
004-easy,0.23,Excited,329,322
004-easy,0.23,Excited,329,322
004-easy,0.23,Excited,329,322
004-easy,0.23,Excited,329,322
004-easy,0.23,Excited,329,322
004-easy,0.23,Excited,328,322
004-easy,0.23,Excited,328,321
004-easy,0.23,Excited,328,322
004-easy,0.23,Excited,327,322
004-easy,0.23,Excited,329,322
004-easy,0.23,Excited,328,322
004-easy,0.23,Excited,328,322
004-easy,0.23,Excited,329,321
004-easy,0.23,Excited,329,320
004-easy,0.23,Excited,329,322
004-easy,0.23,Excited,329,320
004-easy,0.23,Excited,328,321
004-easy,0.23,Excited,328,320
004-easy,0.23,Excited,328,322
004-easy,0.23,Excited,326,321
004-easy,0.23,Excited,327,321
004-easy,0.23,Excited,327,322
004-easy,0.23,Excited,327,321
004-easy,0.23,Excited,326,321
004-easy,0.23,Excited,326,321
004-easy,0.23,Excited,327,321
004-easy,0.23,Excited,327,321
004-easy,0.23,Excited,327,321
004-easy,0.23,Excited,328,320
004-easy,0.23,Excited,328,320
004-easy,0.23,Excited,328,320
004-easy,0.23,Excited,328,321
004-easy,0.23,Excited,329,321
004-easy,0.23,Excited,329,320
004-easy,0.23,Excited,330,320
004-easy,0.23,Excited,331,320
004-easy,0.23,Excited,331,320
004-easy,0.23,Excited,332,320
004-easy,0.23,Excited,332,320
004-easy,0.23,Excited,333,320
004-easy,0.23,Excited,333,320
004-easy,0.23,Excited,333,321
004-easy,0.23,Excited,333,320
004-easy,0.23,Excited,332,320
004-easy,0.23,Excited,331,321
004-easy,0.23,Excited,331,320
004-easy,0.23,Excited,331,320
004-easy,0.23,Excited,330,321
004-easy,0.23,Excited,331,321
004-easy,0.23,Excited,329,321
004-easy,0.23,Excited,329,321
004-easy,0.23,Excited,329,321
004-easy,0.23,Excited,327,321
004-easy,0.23,Excited,327,321
004-easy,0.23,Excited,326,320
004-easy,0.23,Excited,325,321
004-easy,0.23,Excited,323,320
004-easy,0.23,Excited,323,321
004-easy,0.23,Excited,322,320
004-easy,0.23,Excited,320,321
004-easy,0.23,Excited,320,321
004-easy,0.23,Excited,319,321
004-easy,0.23,Excited,318,321
004-easy,0.23,Excited,318,321
004-easy,0.23,Excited,318,319
004-easy,0.23,Excited,317,320
004-easy,0.23,Excited,316,319
004-easy,0.23,Excited,315,320
004-easy,0.23,Excited,315,320
004-easy,0.23,Excited,315,320
004-easy,0.23,Excited,313,320
004-easy,0.23,Excited,314,320
004-easy,0.23,Excited,313,320
004-easy,0.23,Excited,313,320
004-easy,0.23,Excited,312,320
004-easy,0.23,Excited,311,320
004-easy,0.23,Excited,311,319
004-easy,0.23,Excited,310,320
004-easy,0.23,Excited,308,320
004-easy,0.23,Excited,309,320
004-easy,0.23,Excited,308,319
004-easy,0.23,Excited,308,320
004-easy,0.23,Excited,308,319
004-easy,0.23,Excited,308,320
004-easy,0.23,Excited,309,319
004-easy,0.23,Excited,308,320
004-easy,0.23,Excited,309,320
004-easy,0.23,Excited,311,319
004-easy,0.23,Excited,313,319
004-easy,0.23,Excited,313,319
004-easy,0.23,Excited,315,320
004-easy,0.23,Excited,316,320
004-easy,0.23,Excited,318,320
004-easy,0.23,Excited,320,319
004-easy,0.23,Excited,322,319
004-easy,0.23,Excited,324,319
004-easy,0.23,Excited,0,312
004-easy,0.23,Excited,357,311
004-easy,0.23,Excited,357,311
004-easy,0.23,Excited,356,312
004-easy,0.23,Excited,353,313
004-easy,0.23,Excited,353,313
004-easy,0.23,Excited,352,313
004-easy,0.23,Excited,349,312
004-easy,0.23,Excited,347,312
004-easy,0.23,Excited,347,312
